borough,puma,neighborhoods,nyc_poverty_rate,median_income,perc_white,perc_black,perc_asian,perc_other,perc_hispanic
Bronx,3701,"Riverdale, Fieldston & Kingsbridge",0.152,30437,0.324,0.124,0.052,0.023,0.477
Bronx,3702,"Wakefield, Williamsbridge & Woodlawn",0.232,26136,0.069,0.655,0.026,0.023,0.226
Bronx,3703,"Coop City, Pelham Bay & Schuylerville",0.14,31573,0.293,0.285,0.03,0.022,0.371
Bronx,3704,"Pelham Parkway, Morris Park & Laconia",0.205,25358,0.218,0.215,0.076,0.022,0.47
Bronx,3705,"Belmont, Crotona Park East & East Tremont",0.308,14213,0.045,0.301,0.008,0.011,0.635
Bronx,3706,"Bedford Park, Fordham North & Norwood",0.264,18674,0.066,0.154,0.061,0.022,0.696
Bronx,3707,"Morris Heights, Fordham South & Mount Hope",0.344,15628,0.013,0.274,0.015,0.011,0.688
Bronx,3708,"Concourse, Highbridge & Mount Eden",0.323,16710,0.017,0.308,0.017,0.018,0.641
Bronx,3709,"Castle Hill, Clason Point & Parkchester",0.264,20300,0.028,0.288,0.071,0.029,0.584
Bronx,3710,"Hunts Point, Longwood & Melrose",0.293,15510,0.016,0.282,0.008,0.012,0.682
Brooklyn,4001,Greenpoint & Williamsburg,0.173,35889,0.631,0.042,0.073,0.021,0.233
Brooklyn,4002,Bushwick,0.251,22264,0.148,0.183,0.048,0.016,0.605
Brooklyn,4003,Bedford Stuyvesant,0.226,24627,0.231,0.53,0.032,0.02,0.188
Brooklyn,4004,Brooklyn Heights & Fort Greene,0.121,44313,0.447,0.261,0.092,0.042,0.158
Brooklyn,4005,"Park Slope, Carroll Gardens & Red Hook",0.095,57393,0.646,0.068,0.064,0.047,0.175
Brooklyn,4006,Crown Heights North & Prospect Heights,0.214,29895,0.213,0.593,0.037,0.034,0.122
Brooklyn,4007,Brownsville & Ocean Hill,0.282,19274,0.021,0.742,0.015,0.012,0.211
Brooklyn,4008,East New York & Starrett City,0.298,22796,0.038,0.522,0.045,0.024,0.371
Brooklyn,4009,Canarsie & Flatlands,0.15,32210,0.23,0.63,0.044,0.017,0.08
Brooklyn,4010,"East Flatbush, Farragut & Rugby",0.19,27248,0.022,0.873,0.014,0.017,0.074
Brooklyn,4011,"Crown Heights South, Prospect Lefferts & Wingate",0.221,26140,0.198,0.663,0.018,0.025,0.096
Brooklyn,4012,Sunset Park & Windsor Terrace,0.294,20787,0.223,0.026,0.324,0.016,0.412
Brooklyn,4013,Bay Ridge & Dyker Heights,0.19,30858,0.573,0.015,0.24,0.018,0.154
Brooklyn,4014,"Borough Park, Kensington & Ocean Parkway",0.283,21103,0.707,0.023,0.14,0.02,0.109
Brooklyn,4015,Flatbush & Midwood,0.221,25708,0.396,0.32,0.105,0.027,0.151
Brooklyn,4016,"Sheepshead Bay, Gerritsen Beach & Homecrest",0.194,29307,0.691,0.038,0.159,0.02,0.091
Brooklyn,4017,Bensonhurst & Bath Beach,0.23,23329,0.442,0.009,0.391,0.015,0.144
Brooklyn,4018,Brighton Beach & Coney Island,0.24,19345,0.575,0.106,0.145,0.025,0.15
Manhattan,3801,"Washington Heights, Inwood & Marble Hill",0.199,20421,0.178,0.078,0.027,0.015,0.701
Manhattan,3802,"Hamilton Heights, Manhattanville & West Harlem",0.235,24561,0.286,0.215,0.083,0.037,0.379
Manhattan,3803,Central Harlem,0.211,26075,0.131,0.571,0.032,0.032,0.236
Manhattan,3804,East Harlem,0.231,19510,0.152,0.298,0.075,0.023,0.452
Manhattan,3805,Upper East Side,0.073,71933,0.761,0.028,0.093,0.028,0.09
Manhattan,3806,Upper West Side & West Side,0.09,65844,0.677,0.06,0.092,0.026,0.144
Manhattan,3807,"Chelsea, Clinton & Midtown Business District",0.108,65905,0.609,0.054,0.162,0.028,0.146
Manhattan,3808,"Murray Hill, Gramercy & Stuyvesant Town",0.1,73067,0.694,0.032,0.158,0.029,0.087
Manhattan,3809,Chinatown & Lower East Side,0.18,25667,0.331,0.079,0.311,0.031,0.249
Manhattan,3810,"Battery Park City, Greenwich Village & Soho",0.088,79181,0.716,0.022,0.159,0.032,0.07
Queens,4101,Astoria & Long Island City,0.183,31658,0.478,0.063,0.159,0.029,0.272
Queens,4102,Jackson Heights & North Corona,0.254,22853,0.1,0.048,0.169,0.015,0.667
Queens,4103,"Flushing, Murray Hill & Whitestone",0.252,25517,0.256,0.021,0.521,0.025,0.176
Queens,4104,"Bayside, Douglaston & Little Neck",0.135,37432,0.413,0.018,0.427,0.024,0.118
Queens,4105,"Queens Village, Cambria Heights & Rosedale",0.132,32961,0.117,0.561,0.15,0.055,0.117
Queens,4106,"Briarwood, Fresh Meadows & Hillcrest",0.22,30239,0.316,0.114,0.339,0.044,0.186
Queens,4107,Elmhurst & South Corona,0.271,21889,0.063,0.079,0.332,0.019,0.507
Queens,4108,Forest Hills & Rego Park,0.163,41029,0.512,0.029,0.272,0.031,0.157
Queens,4109,Sunnyside & Woodside,0.204,31245,0.281,0.013,0.352,0.023,0.332
Queens,4110,"Ridgewood, Glendale & Middle Village",0.186,31420,0.531,0.015,0.084,0.013,0.358
Queens,4111,Richmond Hill & Woodhaven,0.219,26357,0.179,0.058,0.263,0.081,0.418
Queens,4112,"Jamaica, Hollis & St. Albans",0.204,25946,0.017,0.621,0.116,0.077,0.169
Queens,4113,Howard Beach & Ozone Park,0.189,27016,0.216,0.151,0.21,0.166,0.257
Queens,4114,"Far Rockaway, Breezy Point & Broad Channel",0.179,25920,0.35,0.353,0.039,0.022,0.235
Staten Island,3901,"Tottenville, Great Kills & Annadale",0.114,40637,0.836,0.009,0.047,0.011,0.097
Staten Island,3902,New Springville & South Beach,0.144,35413,0.683,0.037,0.125,0.019,0.136
Staten Island,3903,"Port Richmond, Stapleton & Mariners Harbor",0.212,31347,0.381,0.221,0.075,0.031,0.293
