business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
OPERATIONAL,"200 E 32nd St, New York, NY 10016, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104386132997549304923"">Maarten Schäfer</a>'], 'photo_reference': 'AfLeUgOZZiI83hKKSCscGJXQ0YHmNI-QmAy03IZ6-51LWSQC3nMP7doKNGKAqyTesdv7YnnFOaA_vnsQKKILDq_09uuTYi8mjpqgASNOpEeCz3o4pZeaKcgyUxDUzVJTax7YELQUJnt-fTrPNzuDvmCFcXIQX0PQ2RXOktZKbEfLYErRpjD-', 'width': 4032}]",ChIJH_ZOmghZwokRa20TcxP_Bfs,2,4.5,ChIJH_ZOmghZwokRa20TcxP_Bfs,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",3806,40.7439882,-73.9790839,40.74542123,-73.97787907,40.74272157,-73.98057873,FALSE,P2VC+H9 New York,87G8P2VC+H9
OPERATIONAL,"675 6th Ave, New York, NY 10010, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107825351408084373517"">James Petts</a>'], 'photo_reference': 'AfLeUgPDbHdsoaMkxq-RJvNUSYXZDaKe8cbeBMZ-Hj0rJjWV3y7U-jpnPsD73jJu2slycxYM6JhAk9SvDqy6xc4fOVfoML6GnfXaEGOmVTKF2HoGTWnPNuW7weKvbEF_zHZDOJ4bRMFhSPFAEJ2oKBDGederC5003hC6R533vLwh_TATzxbM', 'width': 4608}]",ChIJI5xCX6NZwokR3jdSQwsw2DI,2,4.6,ChIJI5xCX6NZwokR3jdSQwsw2DI,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",6032,40.7420901,-73.9941211,40.74329368,-73.99251087,40.74059402,-73.99521053,FALSE,P2R4+R9 New York,87G8P2R4+R9
OPERATIONAL,"2073 Broadway, New York, NY 10023, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116507382416807671621"">mamrak s</a>'], 'photo_reference': 'AfLeUgMAhJhR1SNgos0YwmM2P-GXl07vsnPHbzC3Ch3vNrvikiUaFr1Y-jNYEgSUviP-2pHIo6SLkyUKefv2lWlTu-Bv4vjYT906QCSd3-K94Xowcop2uYXbdePZ-_OoqD2XDZGPy7SSzEVWEhGVTrbj6EazAXpgAUufB38iRMJq3VxhGlQl', 'width': 4032}]",ChIJ5U8xEopYwokRjV6TuL4I9Ac,2,4.5,ChIJ5U8xEopYwokRjV6TuL4I9Ac,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",5353,40.7785639,-73.9823142,40.77989668,-73.98086967,40.77719702,-73.98356933,FALSE,Q2H9+C3 New York,87G8Q2H9+C3
OPERATIONAL,"142 E 14th St, New York, NY 10003, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116459289962089758430"">Mod Mod</a>'], 'photo_reference': 'AfLeUgP2IsIgVNRs_2vkbS-gVVd12z_yFUAOdSNtXxuCTpSAFJn3eIu1OGvaA07aS56Dwt90E8e4IJZPTOB7mnALytKJZeFAqLf8_akoDjuFrOXGmeMEjNxLjJjoyX5ZT2VnNQLJSuq1Otx0nlp1BcDnWLDdTcMk3orC6zn8-ftGjtC9Ku8', 'width': 4032}]",ChIJa5oiKJ9ZwokR4EX7HlQSstY,2,4.4,ChIJa5oiKJ9ZwokR4EX7HlQSstY,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",4545,40.7333532,-73.9878949,40.73482333,-73.98653202,40.73212367,-73.98923168,FALSE,P2M6+8R New York,87G8P2M6+8R
OPERATIONAL,"405 E 59th St, New York, NY 10022, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109657730035472509998"">A Google User</a>'], 'photo_reference': 'AfLeUgOaV6vNwBnwLsTniJ6OjCa0Q1OQbe-9CbqS3AWfbzLjouHTKgX4nCLPO59WgsHDsUXY6Gjt4TWEXRfovS1k1QnC6kQ1GmXvBgp9M3POBpySedPDlBTj_Hew_lJb2hp1_P0bXys1jNS1mLmuDgbqWGRDMM1Gkl4Z7LZYbYoom3BI672Q', 'width': 4032}]",ChIJVaVhLKxZwokRS0yT-WWNnuA,,4.7,ChIJVaVhLKxZwokRS0yT-WWNnuA,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",749,40.7597032,-73.9615347,40.76094923,-73.96024947,40.75824957,-73.96294913,FALSE,Q25Q+V9 New York,87G8Q25Q+V9
OPERATIONAL,"233 Spring St, New York, NY 10013, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113601290550508633476"">Cam V</a>'], 'photo_reference': 'AfLeUgPB7YRGvfNZ55DmwSGF3NAwPYKzeYeT5Qrl4hRvOk2QF8I5_hTyQSiXoB4E4oVTQpJVVRJTUioh29ek2Qiu-fkgH-CZBIJI6Wes9YI1iUFF0vWoKJ8aLNacbkLCXHN-ICWwufzX_B7E6u5bG2VcJueYQ1Ohj-sfMsiWaK9x71qUXX1s', 'width': 4032}]",ChIJZd0F3oxZwokRiaEouMZKQ-0,2,4.7,ChIJZd0F3oxZwokRiaEouMZKQ-0,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",1648,40.7257485,-74.0048949,40.72700768,-74.00342437,40.72430802,-74.00612403,FALSE,PXGW+72 New York,87G7PXGW+72
OPERATIONAL,"400 Grand St. (Cellar, New York, NY 10002, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118352747832290984851"">Adrianne Galvez</a>'], 'photo_reference': 'AfLeUgNO64coOcavVwvFHG0obzcaEQHbrBmcghKlLIZ3G89tLp2-prSKTbh_cADm4DrRynVYR4R43TE0FSdJs76tMqW5Pfnoj0im8KMCdVhC5J2wrX9dABjZtNLigjLMrKxsbiTduTjGGfFTCVzNXM_5pkoOri9RvG6FPie6uhue9Vbl0vkz', 'width': 4032}]",ChIJ9WABQ8hZwokR59mUJakO9IA,2,4.6,ChIJ9WABQ8hZwokR59mUJakO9IA,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",1972,40.7164903,-73.9867718,40.71760333,-73.98542932,40.71490367,-73.98812898,FALSE,P287+H7 New York,87G8P287+H7
OPERATIONAL,"436 E 14th St, New York, NY 10009, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117808460219123378764"">Ruwan J.</a>'], 'photo_reference': 'AfLeUgMGspAZdmna9PUiP253QAId40_i2sPYvMMZsxbe3i0_v_kQT3XNldKicBBP7n3KxhaObuwm0nGtyu0oaIER8PYOj4RMS3scqzCz8O3LlzIh5bdg3Hc-gJywtcWW7LidkiaDH_PX0DihuVkOAaagUPsXCNxm7WoIE954poRJIEml63ku', 'width': 4032}]",ChIJIVZfRRpZwokR1GJQ1hL-mQQ,,4.6,ChIJIVZfRRpZwokR1GJQ1hL-mQQ,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",941,40.7305189,-73.9809922,40.73190618,-73.97963707,40.72920652,-73.98233673,FALSE,P2J9+5J New York,87G8P2J9+5J
OPERATIONAL,"670 Columbus Ave, New York, NY 10025, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115339415768382847625"">Chris Jake</a>'], 'photo_reference': 'AfLeUgNSyrZvVyCQCbxzrG9KqJDroIrEV9qi0YK_G0TC-e6mbThqDaD36Ep8qGZeDz_9rwOZiQN_63emLvR0oxI1GGHbwoi_QHixtAeu8NsD9DqhokBSMjequBsuDMnP-tMFO2oq979BL_hPNfN6B8KjIJgKnApGcIzDAeu05GeqH7sJAI0n', 'width': 4032}]",ChIJ1_bNGJ1YwokR9OFA1FuxTJQ,2,4.6,ChIJ1_bNGJ1YwokR9OFA1FuxTJQ,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",2444,40.7907104,-73.9695098,40.79200058,-73.96799882,40.78930092,-73.97069848,FALSE,Q2RJ+75 New York,87G8Q2RJ+75
OPERATIONAL,"22-43 Jackson Ave, Queens, NY 11101, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113020832504068736638"">A Google User</a>'], 'photo_reference': 'AfLeUgPNp4Fg3I9zj0RZ1AC-D1QjzoJVI6jWJjj-YB_2GqjzNLtEBQoHR2mCItP1O2Hml525BN_aNOD3ud_ZvEQOYweWqun1XzSDEO4_GdF3ltDTISRA9KvZa9Pm3aODzogQUR53kCnNWzkXOPT_o_9WA3N5GOkyyaFKgCgk612GovAG28pE', 'width': 4032}]",ChIJieKUCG5ZwokRcFYGfu1T0Sc,,4.6,ChIJieKUCG5ZwokRcFYGfu1T0Sc,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",930,40.7458383,-73.9461982,40.74711848,-73.94479767,40.74441882,-73.94749733,FALSE,P3W3+8G New York,87G8P3W3+8G
OPERATIONAL,"445 Gold St, Brooklyn, NY 11201, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115924793540509610412"">Michelle S</a>'], 'photo_reference': 'AfLeUgNnnWXT8OLvc39Tjrrzd3csGavQaP5Ggg-iZ7FZ2k6OFKZho_b4Ay57AxC9dak8hrf31550HZ9ex3KA5EerRDtLCWtayy0SHRdyAByrsOt2Bi4hSkZsBDvyBAEzL8-rhmOd2A7dD_C7Hk5jKlj3BR54iWZrejFfDboEg7GJuiSQvql9', 'width': 4032}]",ChIJP2ZvVUtawokR6e567fAOx4M,2,4.6,ChIJP2ZvVUtawokR6e567fAOx4M,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",3878,40.6912253,-73.9827655,40.69270198,-73.98153547,40.69000232,-73.98423513,FALSE,M2R8+FV New York,87G8M2R8+FV
OPERATIONAL,"130 Court St, Brooklyn, NY 11201, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100336093535407728732"">Kim T</a>'], 'photo_reference': 'AfLeUgNP_ZFEXICWyUkuBUSCC42PMa3y8NvGWikaNiS0RTKaJQnDskrLIfigTWuPZUoaNdijMZYX89C4-AdWJpaL9tUk0gRluKy-2Wx85W8OMOLDavr28h6yibh5iR52ZPoKvXmMCf8NR5VI9hcV8JCBrtp3nPqIyZv1fp2CIZynh4qF7ePW', 'width': 4048}]",ChIJhS5Yr09awokR44Umk8YfdIY,2,4.5,ChIJhS5Yr09awokR44Umk8YfdIY,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",5321,40.6895837,-73.9928699,40.69088713,-73.99131192,40.68818747,-73.99401158,FALSE,M2Q4+RV New York,87G8M2Q4+RV
OPERATIONAL,"200 Kent Ave, Brooklyn, NY 11249, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115536830579456360218"">Anthony Macapugay</a>'], 'photo_reference': 'AfLeUgM4B5JvxckD_nrYsSqpgo-teTeUL9BudanzokCyeCF0SQRaerFNGFIP1EpIAK-1bmZ-8xoZi0M66blPLhD80PsO4kYIfe7tDQhdhBovjlii33MDjBKr59lHAzgVM-wUfZi8sXop0wnPOCTwhnoqklXjA7w_GM8z28SmMiap4FlrXXea', 'width': 4032}]",ChIJyWDn6ndZwokR234SqsAnT_s,,4.7,ChIJyWDn6ndZwokR234SqsAnT_s,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",484,40.7180932,-73.9643128,40.71940533,-73.96290117,40.71670567,-73.96560083,FALSE,P29P+67 New York,87G8P29P+67
OPERATIONAL,"1350 Willow Ave, Hoboken, NJ 07030, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117006630187696330124"">Ann Andrews</a>'], 'photo_reference': 'AfLeUgPQ8hI7Qr6UsjbppIZS8Ud5jnZYqCjxmg5NysP_LQMRZnpU57D6QGk86Gi2GEPBJB11v7F4Ca6l4ScMq9oup2JibadTh4mlInGJzF-SE6f9HcOpazAbCkumuJ9j129fD1uHo73AbLgtDmUwkQA6ZTqJPTJdil2UZ2PlUoUpK3NF1vHB', 'width': 2048}]",ChIJp1Mu19dZwokRe8ZJZAMVHMQ,2,4.6,ChIJp1Mu19dZwokRe8ZJZAMVHMQ,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",2583,40.7536747,-74.0299492,40.75490593,-74.02846757,40.75220627,-74.03116723,FALSE,"QX3C+F2 Hoboken, New Jersey",87G7QX3C+F2
OPERATIONAL,"715 River Rd, Edgewater, NJ 07020, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115804949115450922900"">Klay Moon</a>'], 'photo_reference': 'AfLeUgNGKvSpUlTy028GOoLdj8OPvJk99JAqJce2VLR54_SppOo4Ds3LEQ9-8UgTRv1IQV9E_D6yP1kjfu29ndWpmrAiQoJFnCDDCiuyOpJdp6OqhX_p5EpnVn7Mlpi50DSzKf08OcZo5noVw6hW4rC5RkUTogBx3OPG8jKF51uSXX78zs-Q', 'width': 1920}]",ChIJTfsPHEz2wokR1Z1KV8S3nZ4,2,4.6,ChIJTfsPHEz2wokR1Z1KV8S3nZ4,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",2975,40.8196686,-73.9775851,40.82083903,-73.97623362,40.81813937,-73.97893328,FALSE,"R29C+VX Edgewater, New Jersey",87G8R29C+VX
OPERATIONAL,"9030 Metropolitan Ave, Queens, NY 11374, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117561919292626814313"">Jacky</a>'], 'photo_reference': 'AfLeUgMm6vtOVhq9YO97c96_jl1uCIv3nCRN4OBqVEStwVU_zCbk_AKianGRsfMc7hrS8-GDKWHCmY442pvGEdipUeYYmb6nyQ2ePCDGPvcvUqPz13pGxFAbTTX_w628X7bY8cl9qyL6ur_WcN2q0VPd1s0LltoTVizRqiOuudhVoZT-k0rc', 'width': 1920}]",ChIJ4YO7bBFewokRRp5wtOWm_EU,2,4.4,ChIJ4YO7bBFewokRRp5wtOWm_EU,"['grocery_or_supermarket', 'supermarket', 'health', 'store', 'point_of_interest', 'food', 'establishment']",5290,40.7108566,-73.8583482,40.71244053,-73.85689957,40.70974087,-73.85959923,FALSE,P46R+8M New York,87G8P46R+8M
OPERATIONAL,"450 W 33rd St, New York, NY 10001, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108056271473607973091"">Mark</a>'], 'photo_reference': 'AfLeUgNFqkDxoQQpIltHRoNC6jY74shDFRAF1SkaC8SvtQbTYRnV5O2ZIAvsXifd_0Xz_z9f7RNpDBGG3GQL0fGsrW7oJkOi6Pif2348vYdM0XKbLgFTnLu4LhLQ9VFb6Y4dkzn-7At86lvTkZxeFW4W31a7FaSXS1F2SiDM1sarb1w2-0NQ', 'width': 4032}]",ChIJI2yhZBxZwokRaLg_A-8sqDA,,4.5,ChIJI2yhZBxZwokRaLg_A-8sqDA,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",591,40.7528918,-73.9997371,40.75431693,-73.99865987,40.75161727,-74.00135953,TRUE,Q232+54 New York,87G8Q232+54
OPERATIONAL,"10 Columbus Cir Ste Sc101, New York, NY 10019, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109221979774437130279"">MOT Mark</a>'], 'photo_reference': 'AfLeUgMeOLrKiaLYa4cv0Z8ecbRL9bxjDzDXE56EKEVMpyX97a0D7uAKzAM0ZxVuys5EyfdivPo9KFaoqcAnnI9caqYkgf7tPS6rXKaZTJpepuoU9uqBvriPwbXYUAKk2CzGfXxHYmpwQnYx5zNn1wBprhefDtfdcSPEqnFREd2ZHWIlaE1y', 'width': 3024}]",ChIJvaMqIvZYwokR9tb1ok27g8U,3,4.3,ChIJvaMqIvZYwokR9tb1ok27g8U,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",3363,40.7685526,-73.9831866,40.7697777,-73.9814447,40.7670033,-73.9844279,TRUE,Q298+CP New York,87G8Q298+CP
OPERATIONAL,"1095 6th Ave, New York, NY 10036, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111444671146808251214"">Eric Finkelstein</a>'], 'photo_reference': 'AfLeUgPxrRHqJI5kvls11On2WS-htL7HLLMhEL44ocegpSA7Sx1hcxQYjP1MlGR-c7Kd6KfqKUKweevvAVb0FRhUIsFJ7viQnIdlnbH9LPsvTOMc0BRIwOE0oVTqjg2w70gcMA8q0K7AHpzOg49QQBkHRUIGND7l9TwQFQpq12OzRYTF3m13', 'width': 4000}]",ChIJC2AqwapZwokR2O17hSVPjrE,3,4.4,ChIJC2AqwapZwokR2O17hSVPjrE,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",6065,40.7545529,-73.984657,40.75581723,-73.98316642,40.75311757,-73.98586608,TRUE,Q238+R4 New York,87G8Q238+R4
OPERATIONAL,"226 E 57th St, New York, NY 10022, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108037419906971159832"">Augusto Ensiki</a>'], 'photo_reference': 'AfLeUgNJcpBEN1ih7eTJDbuDYg2EdZqaxp7mfXk6E5A8wM_dJO2Hl1WQhYkuSOHJTovxireLuuTx_P0vS0NoYPb2qaXIZsB9GGs0UHea4T74COkc4ujkVhYgIHLBzNAiZu01iMLPSRXEaCWFo2mAVPwD3V2TnK8Pguot0Y4yvdNlAy9LulQV', 'width': 4032}]",ChIJvYILMORYwokRywGbSMh9b_c,3,4.2,ChIJvYILMORYwokRywGbSMh9b_c,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",2249,40.7593039,-73.9663868,40.76086543,-73.96479532,40.75816577,-73.96749498,TRUE,Q25M+PC New York,87G8Q25M+PC
OPERATIONAL,"250 7th Ave, New York, NY 10001, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market .,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111709773201343200215"">Hostel Traveler</a>'], 'photo_reference': 'AfLeUgOLjy3DvEyyJddmmIeqLQTj68qM5LARIDEILJn-2ghIEfn0PXqhexbmWsMMaNvt_GshaqCDp1dI51_7-VtELXyQHzw0YE3Mrsm1_IyHGF_SEGc8leSaNdG-RKXeZoOfHrXjQ-n9SaabKkYKeN79cQuCqcmJ4cnaCzDtiP62Qghx3NO_', 'width': 1920}]",ChIJu9jzyANbwokRIb60wMQSvqQ,2,4.2,ChIJu9jzyANbwokRIb60wMQSvqQ,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",2591,40.7449592,-73.9952913,40.74644653,-73.99391562,40.74374687,-73.99661528,TRUE,P2V3+XV New York,87G8P2V3+XV
OPERATIONAL,"4 Union Square South, NY 10003, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107821815236197059478"">sinan erel</a>'], 'photo_reference': 'AfLeUgNJlaoBH6u7cpEJuPfZMTWHfnuPnqQnhfzYFrtW8ImorTjuXAbbzXgM-uwOVjQfpknk--n9Hv01xFINovI270zpnSXqZbY8vOS-YIkVDpKjHhS00AdYhHSDvjf6Al4c8EB7q5iIkouX0WS_e6pM4uFVGJgkD1jN-zEo9beswDtiCzxm', 'width': 1536}]",ChIJlZFg95hZwokRzTo2UWdo0Lg,3,4.2,ChIJlZFg95hZwokRzTo2UWdo0Lg,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",4293,40.7348264,-73.9912049,40.73623578,-73.98978337,40.73353612,-73.99248303,TRUE,P2M5+WG New York,87G8P2M5+WG
OPERATIONAL,"63 Madison Ave, New York, NY 10016, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106634007242480479104"">Edward Halim</a>'], 'photo_reference': 'AfLeUgNQYPVXiCOPdQpiiQyrLH3ffKmYBcPGJlfWJe69Z2NeGmgmLysW7MfSuHyDAQlPHPYuGPa-pHPjEWQVnyxxNSj8Rt1B0CJJMsecKeqDl-PQJ5fieyQkZ63096w7UpF2P6998nIb8jAY7nZoYnEr4uUbcj-IIeuXxKPMQqyDJJ2wxVHU', 'width': 4032}]",ChIJkTgowqdZwokR9eCCOtg2iB0,,4.5,ChIJkTgowqdZwokR9eCCOtg2iB0,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",275,40.7434963,-73.9855379,40.74493238,-73.98439142,40.74223272,-73.98709108,TRUE,P2V7+9Q New York,87G8P2V7+9Q
OPERATIONAL,"95 E Houston St, New York, NY 10002, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Whole Foods Market,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116328682135597130625"">A Google User</a>'], 'photo_reference': 'AfLeUgMca1VYoHhFMFt19x4Ru3OqADrBPyn1yAZpqqESnLcGdP7kuPA4fgXC3-VDvbqFB1fCejmVUKAM6ZkQT5McUt5ll0gdL5avpWk_H1m9EI70zeqyEcbFEiCRjZUiq3KSyR7fJcCxff5sZWhI0OYp2LEOHetQL9i9dZkXuc4YrcmNKzT2', 'width': 3264}]",ChIJQ5yUr4VZwokRbMN-yaOarmc,1,4.2,ChIJQ5yUr4VZwokRbMN-yaOarmc,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",2691,40.7238246,-73.9923102,40.72524373,-73.99092052,40.72254407,-73.99362018,TRUE,P2F5+G3 New York,87G8P2F5+G3
